model_name,Low F1,Low Recall,Low Precision,Low Specificity,Low Accuracy,Low MSE,Low MAE
all-MiniLM-L6-v2,0.4666666666666667,0.4364508393285372,0.5013774104683195,0.7557354925775979,0.6407599309153713,0.13662557123938712,0.28800535758344786
all-MiniLM-L12-v2,0.4719387755102041,0.44364508393285373,0.5040871934604905,0.7543859649122807,0.6424870466321243,0.13376263056771823,0.28610200556906695
all-distilroberta-v1,0.5148005148005148,0.47961630695443647,0.5555555555555556,0.7840755735492577,0.6744386873920553,0.13567317590036965,0.2898382150787776
paraphrase-mpnet-base-v2,0.5082592121982211,0.47961630695443647,0.5405405405405406,0.7705802968960864,0.6658031088082902,0.12567446350434006,0.2793345317401572
